latitude wgs84,longitude wgs84,site,water body,uom,quantity,quantity type,collection method,author,series id,url json,url csv
46.037222,10.87,Ponte Arche,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42437,https://www.floods.it/api/v1/monitoring/42437.json,https://www.floods.it/api/v1/monitoring/42437.csv
45.817397,10.545005,Ponte dei Tedeschi,fiume Chiese,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31924,https://www.floods.it/api/v1/monitoring/31924.json,https://www.floods.it/api/v1/monitoring/31924.csv
45.817228,10.545348,Ponte dei Tedeschi,fiume Chiese,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38569,https://www.floods.it/api/v1/monitoring/38569.json,https://www.floods.it/api/v1/monitoring/38569.csv
46.052548,11.507308,Ponte delle Carrette,torrente Maso,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28205,https://www.floods.it/api/v1/monitoring/28205.json,https://www.floods.it/api/v1/monitoring/28205.csv
46.0525,11.507778,Ponte delle Carrette,torrente Maso,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42438,https://www.floods.it/api/v1/monitoring/42438.json,https://www.floods.it/api/v1/monitoring/42438.csv
46.262609,11.062353,Ponte di Moncovo,fiume Noce,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28341,https://www.floods.it/api/v1/monitoring/28341.json,https://www.floods.it/api/v1/monitoring/28341.csv
46.039078,11.410511,Ponte Zaccon,fiume Brenta,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31939,https://www.floods.it/api/v1/monitoring/31939.json,https://www.floods.it/api/v1/monitoring/31939.csv
46.039167,11.410556,Ponte Zaccon,fiume Brenta,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42439,https://www.floods.it/api/v1/monitoring/42439.json,https://www.floods.it/api/v1/monitoring/42439.csv
46.189798,11.250972,Prà Ponte di Cantilaga,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32527,https://www.floods.it/api/v1/monitoring/32527.json,https://www.floods.it/api/v1/monitoring/32527.csv
46.19,11.250833,Prà Ponte di Cantilaga,torrente Avisio,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42441,https://www.floods.it/api/v1/monitoring/42441.json,https://www.floods.it/api/v1/monitoring/42441.csv
46.219815,11.873918,Pradidali,rio Pradidali,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30977,https://www.floods.it/api/v1/monitoring/30977.json,https://www.floods.it/api/v1/monitoring/30977.csv
46.310233,11.595996,Predazzo Avisio,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28244,https://www.floods.it/api/v1/monitoring/28244.json,https://www.floods.it/api/v1/monitoring/28244.csv
46.310556,11.595833,Predazzo Avisio,torrente Avisio,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42440,https://www.floods.it/api/v1/monitoring/42440.json,https://www.floods.it/api/v1/monitoring/42440.csv
46.308424,11.601262,Predazzo Travignolo,torrente Travignolo,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28943,https://www.floods.it/api/v1/monitoring/28943.json,https://www.floods.it/api/v1/monitoring/28943.csv
46.308611,11.601667,Predazzo Travignolo,torrente Travignolo,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,48500,https://www.floods.it/api/v1/monitoring/48500.json,https://www.floods.it/api/v1/monitoring/48500.csv
46.042488,10.750055,Preore,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11793,https://www.floods.it/api/v1/monitoring/11793.json,https://www.floods.it/api/v1/monitoring/11793.csv
46.042482,10.750111,Preore,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18725,https://www.floods.it/api/v1/monitoring/18725.json,https://www.floods.it/api/v1/monitoring/18725.csv
46.050262,10.785694,Ragoli,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32113,https://www.floods.it/api/v1/monitoring/32113.json,https://www.floods.it/api/v1/monitoring/32113.csv
46.050556,10.785556,Ragoli,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42442,https://www.floods.it/api/v1/monitoring/42442.json,https://www.floods.it/api/v1/monitoring/42442.csv
45.884055,10.847608,Riva del Garda Parco Cattoi,torrente Albola,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28159,https://www.floods.it/api/v1/monitoring/28159.json,https://www.floods.it/api/v1/monitoring/28159.csv
45.884167,10.847778,Riva del Garda Parco Cattoi,torrente Albola,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42443,https://www.floods.it/api/v1/monitoring/42443.json,https://www.floods.it/api/v1/monitoring/42443.csv
45.883318,10.848531,Riva del Garda Parco Cattoi,torrente Varone,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28160,https://www.floods.it/api/v1/monitoring/28160.json,https://www.floods.it/api/v1/monitoring/28160.csv
45.884167,10.847778,Riva del Garda Parco Cattoi,torrente Varone,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42444,https://www.floods.it/api/v1/monitoring/42444.json,https://www.floods.it/api/v1/monitoring/42444.csv
46.048508,11.405008,Roncegno,torrente Larganza,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28229,https://www.floods.it/api/v1/monitoring/28229.json,https://www.floods.it/api/v1/monitoring/28229.csv
46.048333,11.404722,Roncegno,torrente Larganza,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42445,https://www.floods.it/api/v1/monitoring/42445.json,https://www.floods.it/api/v1/monitoring/42445.csv
45.88093,11.022282,Rovereto Ponte Zigherane,fiume Leno,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,12320,https://www.floods.it/api/v1/monitoring/12320.json,https://www.floods.it/api/v1/monitoring/12320.csv
45.88093,11.022282,Rovereto Ponte Zigherane,fiume Leno,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18720,https://www.floods.it/api/v1/monitoring/18720.json,https://www.floods.it/api/v1/monitoring/18720.csv
45.794974,11.100841,S. Anna,torrente Leno di Vallarsa,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,12316,https://www.floods.it/api/v1/monitoring/12316.json,https://www.floods.it/api/v1/monitoring/12316.csv
45.794946,11.100882,S. Anna,torrente Leno di Vallarsa,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18719,https://www.floods.it/api/v1/monitoring/18719.json,https://www.floods.it/api/v1/monitoring/18719.csv
46.400359,10.844546,S. Bernardo Rabbi,torrente Rabbies,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32213,https://www.floods.it/api/v1/monitoring/32213.json,https://www.floods.it/api/v1/monitoring/32213.csv
46.400247,10.844507,S. Bernardo Rabbi,torrente Rabies,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38570,https://www.floods.it/api/v1/monitoring/38570.json,https://www.floods.it/api/v1/monitoring/38570.csv
46.400301,10.84423,S. Bernardo Rabbi,torrente Valorz,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32215,https://www.floods.it/api/v1/monitoring/32215.json,https://www.floods.it/api/v1/monitoring/32215.csv
46.400278,10.844444,S. Bernardo Rabbi,torrente Valorz,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42446,https://www.floods.it/api/v1/monitoring/42446.json,https://www.floods.it/api/v1/monitoring/42446.csv
46.264194,11.800834,S. Martino di Castrozza,torrente Cismon,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28240,https://www.floods.it/api/v1/monitoring/28240.json,https://www.floods.it/api/v1/monitoring/28240.csv
46.195173,11.13237,S. Michele all'Adige,fiume Adige,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11751,https://www.floods.it/api/v1/monitoring/11751.json,https://www.floods.it/api/v1/monitoring/11751.csv
46.195162,11.13234,S. Michele all'Adige,fiume Adige,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18708,https://www.floods.it/api/v1/monitoring/18708.json,https://www.floods.it/api/v1/monitoring/18708.csv
46.033082,10.946562,Sarche Ponte del Gobbo,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11797,https://www.floods.it/api/v1/monitoring/11797.json,https://www.floods.it/api/v1/monitoring/11797.csv
46.03301,10.946496,Sarche Ponte del Gobbo,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18726,https://www.floods.it/api/v1/monitoring/18726.json,https://www.floods.it/api/v1/monitoring/18726.csv
46.393742,11.666686,Soraga,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11728,https://www.floods.it/api/v1/monitoring/11728.json,https://www.floods.it/api/v1/monitoring/11728.csv
46.393701,11.666753,Soraga,torrente Avisio,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18702,https://www.floods.it/api/v1/monitoring/18702.json,https://www.floods.it/api/v1/monitoring/18702.csv
46.102251,10.738926,Spiazzo,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11789,https://www.floods.it/api/v1/monitoring/11789.json,https://www.floods.it/api/v1/monitoring/11789.csv
46.102176,10.738969,Spiazzo,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18724,https://www.floods.it/api/v1/monitoring/18724.json,https://www.floods.it/api/v1/monitoring/18724.csv
45.86772,11.171905,Stedileri,torrente Leno di Terragnolo,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,12312,https://www.floods.it/api/v1/monitoring/12312.json,https://www.floods.it/api/v1/monitoring/12312.csv
45.867653,11.171923,Stedileri,torrente Leno di Terragnolo,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18718,https://www.floods.it/api/v1/monitoring/18718.json,https://www.floods.it/api/v1/monitoring/18718.csv
46.033819,10.735031,Tione,torrente Arnò,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30869,https://www.floods.it/api/v1/monitoring/30869.json,https://www.floods.it/api/v1/monitoring/30869.csv
46.033611,10.735,Tione,torrente Arnò,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42447,https://www.floods.it/api/v1/monitoring/42447.json,https://www.floods.it/api/v1/monitoring/42447.csv
46.399803,11.009947,Toflin,torrente Barnes,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32110,https://www.floods.it/api/v1/monitoring/32110.json,https://www.floods.it/api/v1/monitoring/32110.csv
46.182651,11.843489,Tonadico,torrente Canali,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28236,https://www.floods.it/api/v1/monitoring/28236.json,https://www.floods.it/api/v1/monitoring/28236.csv
46.182778,11.843611,Tonadico,torrente Canali,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42449,https://www.floods.it/api/v1/monitoring/42449.json,https://www.floods.it/api/v1/monitoring/42449.csv
45.884009,10.882769,Torbole,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11702,https://www.floods.it/api/v1/monitoring/11702.json,https://www.floods.it/api/v1/monitoring/11702.csv
45.883986,10.882831,Torbole,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18727,https://www.floods.it/api/v1/monitoring/18727.json,https://www.floods.it/api/v1/monitoring/18727.csv
46.043983,11.117988,Trento Fersina,torrente Fersina,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11780,https://www.floods.it/api/v1/monitoring/11780.json,https://www.floods.it/api/v1/monitoring/11780.csv
46.043983,11.117988,Trento Fersina,torrente Fersina,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18716,https://www.floods.it/api/v1/monitoring/18716.json,https://www.floods.it/api/v1/monitoring/18716.csv
46.070134,11.11501,Trento Ponte S. Lorenzo,fiume Adige,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11697,https://www.floods.it/api/v1/monitoring/11697.json,https://www.floods.it/api/v1/monitoring/11697.csv
46.070134,11.11501,Trento Ponte S. Lorenzo,fiume Adige,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18701,https://www.floods.it/api/v1/monitoring/18701.json,https://www.floods.it/api/v1/monitoring/18701.csv
46.166699,10.661162,Val Genova Ponte S. Maria,torrente Sarca di Genova,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18723,https://www.floods.it/api/v1/monitoring/18723.json,https://www.floods.it/api/v1/monitoring/18723.csv
46.166759,10.66107,Val Genova Ponte S. Maria,torrente Sarca di Val Genova,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11784,https://www.floods.it/api/v1/monitoring/11784.json,https://www.floods.it/api/v1/monitoring/11784.csv
46.290394,10.684147,Vermiglio,torrente Vermigliana,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11808,https://www.floods.it/api/v1/monitoring/11808.json,https://www.floods.it/api/v1/monitoring/11808.csv
46.290329,10.684134,Vermiglio,torrente Vermigliana,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18709,https://www.floods.it/api/v1/monitoring/18709.json,https://www.floods.it/api/v1/monitoring/18709.csv
46.056805,11.523932,Villa Agnedo,torrente Chieppena,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28219,https://www.floods.it/api/v1/monitoring/28219.json,https://www.floods.it/api/v1/monitoring/28219.csv
46.056667,11.523889,Villa Agnedo,torrente Chieppena,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42688,https://www.floods.it/api/v1/monitoring/42688.json,https://www.floods.it/api/v1/monitoring/42688.csv
45.912623,11.038306,Villa Lagarina,fiume Adige,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11700,https://www.floods.it/api/v1/monitoring/11700.json,https://www.floods.it/api/v1/monitoring/11700.csv
45.912623,11.038306,Villa Lagarina,fiume Adige,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18717,https://www.floods.it/api/v1/monitoring/18717.json,https://www.floods.it/api/v1/monitoring/18717.csv
45.735233,10.957453,Vò Destro,fiume Adige,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,12326,https://www.floods.it/api/v1/monitoring/12326.json,https://www.floods.it/api/v1/monitoring/12326.csv
45.735043,10.957414,Vò Destro,fiume Adige,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18722,https://www.floods.it/api/v1/monitoring/18722.json,https://www.floods.it/api/v1/monitoring/18722.csv
46.232543,11.156612,Zento Novo,fossa di Caldaro,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,49613,https://www.floods.it/api/v1/monitoring/49613.json,https://www.floods.it/api/v1/monitoring/49613.csv
